Ax,Ay,Az,Gx,Gy,Gz
-0.01,-1.02,0.15,0.08,0.00,0.05
-0.01,-1.02,0.16,0.11,0.02,-0.00
-0.03,-1.03,0.18,0.05,0.04,-0.02
-0.00,-1.00,0.17,0.08,-0.02,-0.05
-0.02,-1.01,0.16,-0.03,0.05,-0.00
-0.02,-1.00,0.14,-0.02,0.04,-0.02
-0.03,-0.98,0.15,-0.09,0.10,0.01
-0.02,-0.96,0.10,-0.24,0.22,0.05
-0.02,-0.91,0.17,-0.18,0.27,0.23
-0.07,-0.92,0.24,-0.17,0.07,0.45
-0.11,-0.99,0.26,-0.42,-0.06,0.59
-0.14,-1.04,0.28,-0.45,-0.28,0.61
-0.17,-1.14,0.24,-0.43,-0.70,0.66
-0.24,-1.25,0.14,-0.79,-0.71,0.37
-0.24,-1.28,0.03,-0.79,-0.76,-0.08
-0.22,-1.23,-0.02,-0.53,-0.96,-0.28
-0.23,-1.20,-0.14,-0.74,-0.84,-0.70
-0.18,-1.12,-0.20,-0.67,-0.87,-0.89
-0.14,-1.08,-0.30,-0.81,-0.91,-1.02
-0.05,-0.99,-0.41,-0.88,-0.90,-1.14
-0.00,-0.96,-0.51,-0.67,-0.09,-1.16
0.07,-0.85,-0.48,-0.20,0.09,-1.20
0.16,-0.76,-0.55,-0.08,0.30,-1.05
0.15,-0.79,-0.50,0.14,0.97,-0.65
0.12,-0.87,-0.43,0.17,1.13,-0.42
0.15,-0.85,-0.44,0.20,1.57,-0.30
0.15,-0.73,-0.21,0.34,1.63,-0.17
0.22,-0.62,-0.23,-0.22,1.76,0.33
0.09,-0.72,-0.11,0.19,1.57,0.72
0.15,-0.68,-0.17,0.36,1.62,0.89
0.10,-0.68,0.19,0.21,2.44,0.97
0.01,-0.75,0.37,0.50,1.20,1.52
0.00,-0.80,0.43,0.27,0.55,1.58
-0.15,-0.99,0.34,-0.42,0.05,1.66
-0.23,-1.13,0.32,-0.66,0.22,1.42
-0.34,-1.20,0.42,0.03,-0.81,1.39
-0.33,-1.23,0.31,0.02,-1.39,0.93
-0.42,-1.29,0.19,-0.42,-1.57,0.79
-0.61,-1.41,-0.10,-0.91,-1.67,0.38
-0.47,-1.28,-0.20,-1.26,-1.36,-0.17
-0.53,-1.32,-0.45,-0.72,-2.03,-0.44
-0.52,-1.31,-0.42,-0.54,-1.56,-0.88
-0.44,-1.27,-0.41,-0.63,-1.27,-1.09
-0.34,-1.18,-0.49,-0.93,-1.14,-1.37
-0.29,-1.11,-0.53,-0.85,-0.70,-1.36
-0.21,-0.99,-0.63,-0.61,-0.40,-1.53
-0.06,-0.82,-0.59,-0.36,-0.08,-1.47
0.00,-0.69,-0.65,-0.29,0.41,-1.22
0.02,-0.59,-0.57,0.06,1.07,-0.90
0.05,-0.61,-0.44,0.38,1.25,-0.54
0.10,-0.57,-0.36,0.28,1.44,-0.31
0.13,-0.58,-0.25,0.45,1.43,0.11
0.09,-0.63,-0.14,0.20,1.65,0.53
0.11,-0.69,-0.19,0.44,1.17,0.71
0.10,-0.72,0.03,0.38,1.66,1.12
0.04,-0.78,0.10,0.44,1.34,1.26
-0.02,-0.81,0.28,-0.08,1.51,1.35
-0.05,-0.95,0.06,-0.52,0.79,1.30
-0.22,-1.04,0.28,-0.32,0.61,1.39
-0.30,-1.10,0.23,-0.07,-0.27,1.10
-0.39,-1.18,0.15,-0.33,-0.45,1.00
-0.38,-1.23,-0.00,-0.21,-1.03,0.80
-0.49,-1.37,-0.00,0.11,-1.17,0.25
-0.46,-1.45,-0.17,-0.41,-1.31,-0.01
-0.47,-1.41,-0.08,-0.20,-1.29,-0.42
-0.46,-1.34,-0.34,-0.68,-1.80,-0.61
-0.34,-1.21,-0.42,-0.86,-1.19,-0.93
-0.44,-1.20,-0.52,-0.96,-1.21,-1.04
-0.35,-1.14,-0.74,-0.84,-0.71,-1.44
-0.26,-1.05,-0.71,-0.39,-0.35,-1.53
-0.17,-0.93,-0.68,-0.02,-0.27,-1.65
0.00,-0.74,-0.61,-0.00,0.26,-1.51
0.04,-0.69,-0.56,0.04,0.72,-0.83
0.06,-0.70,-0.55,0.33,1.17,-0.71
0.10,-0.65,-0.35,0.61,1.29,-0.48
0.06,-0.62,-0.23,0.35,1.31,-0.29
0.17,-0.51,-0.29,-0.13,1.49,0.09
0.11,-0.53,-0.21,-0.36,1.64,0.59
0.12,-0.54,-0.34,-0.16,1.54,1.21
-0.06,-0.75,0.13,0.09,2.23,1.27
-0.05,-0.82,0.25,0.26,1.03,1.30
-0.13,-0.92,0.37,-0.16,0.72,1.36
-0.15,-1.00,0.10,-0.29,0.05,1.25
-0.19,-1.00,0.19,-0.18,-0.34,1.12
-0.20,-1.05,0.08,-0.41,-0.64,1.12
-0.38,-1.22,0.10,-0.04,-1.06,0.99
-0.61,-1.47,-0.11,-0.32,-1.54,0.83
-0.55,-1.53,-0.08,0.27,-1.45,0.05
-0.50,-1.47,-0.20,0.44,-1.93,-0.10
-0.56,-1.46,-0.30,-0.35,-1.45,-0.52
-0.53,-1.36,-0.43,-0.37,-1.35,-0.99
-0.40,-1.19,-0.42,-0.52,-1.11,-1.27
-0.34,-1.15,-0.55,-0.85,-0.76,-1.36
-0.25,-1.02,-0.57,-0.69,-0.41,-1.34
-0.14,-0.93,-0.60,-0.63,-0.08,-1.30
-0.08,-0.85,-0.65,-0.36,0.17,-1.23
0.01,-0.73,-0.58,-0.10,0.72,-1.11
0.06,-0.65,-0.58,-0.13,1.21,-0.82
0.05,-0.61,-0.46,0.27,1.53,-0.45
0.04,-0.60,-0.33,0.61,1.42,-0.17
-0.03,-0.54,-0.14,0.73,1.48,0.00
0.16,-0.52,-0.10,0.79,0.74,0.35
0.01,-0.72,-0.06,0.03,1.85,0.86
0.11,-0.69,-0.02,0.29,1.50,0.90
-0.04,-0.76,0.45,0.04,2.49,1.15
-0.06,-0.83,0.46,0.12,0.53,1.40
-0.20,-1.05,0.35,-0.41,0.26,1.37
-0.18,-1.08,0.26,-0.35,-0.32,1.08
-0.31,-1.20,0.21,-0.39,-0.60,1.14
-0.29,-1.22,-0.01,-0.50,-0.87,0.61
-0.36,-1.29,-0.11,-0.60,-1.07,0.66
-0.42,-1.35,-0.12,-0.41,-1.25,0.35
-0.43,-1.35,-0.09,-0.32,-1.33,-0.05
-0.49,-1.37,-0.29,-0.91,-1.50,-0.20
-0.48,-1.35,-0.50,-0.87,-1.54,-0.69
-0.53,-1.27,-0.53,-0.82,-1.58,-0.85
-0.49,-1.20,-0.75,-1.03,-0.69,-1.38
-0.37,-1.05,-0.78,-0.55,-0.51,-1.65
-0.27,-0.92,-0.65,-0.24,0.23,-1.78
-0.10,-0.80,-0.55,-0.20,0.52,-1.69
-0.04,-0.75,-0.58,-0.22,0.81,-1.41
0.10,-0.64,-0.59,0.16,0.92,-1.15
0.15,-0.58,-0.53,0.28,1.24,-0.77
0.12,-0.56,-0.38,0.52,1.33,-0.35
0.18,-0.52,-0.29,0.59,1.13,-0.06
0.06,-0.60,-0.24,0.46,1.36,0.20
0.24,-0.55,-0.02,-0.14,1.51,0.15
0.26,-0.61,-0.10,-0.65,1.52,0.84
0.20,-0.69,0.08,-0.06,1.22,1.31
0.12,-0.78,0.23,0.22,0.64,1.67
-0.02,-0.93,0.16,-0.33,0.24,1.72
-0.14,-1.09,0.12,-0.33,-0.06,1.63
-0.30,-1.27,0.05,-0.31,-0.33,1.45
-0.33,-1.34,0.03,0.01,-0.79,1.14
-0.43,-1.45,-0.09,-0.08,-1.08,0.67
-0.43,-1.44,-0.26,-0.15,-1.36,0.15
-0.35,-1.33,-0.17,0.19,-1.35,-0.19
-0.39,-1.31,-0.31,-0.61,-1.57,-0.44
-0.43,-1.31,-0.52,-1.04,-1.25,-0.75
-0.36,-1.23,-0.63,-0.79,-1.10,-1.09
-0.29,-1.15,-0.59,-0.67,-0.70,-1.31
-0.22,-1.05,-0.68,-0.84,-0.47,-1.48
-0.14,-0.94,-0.73,-0.66,-0.10,-1.55
-0.05,-0.79,-0.68,-0.10,0.22,-1.41
0.01,-0.69,-0.58,0.22,0.43,-1.16
0.05,-0.64,-0.68,-0.14,0.84,-0.99
0.11,-0.54,-0.63,0.09,1.25,-0.67
0.11,-0.58,-0.47,0.43,1.44,-0.21
0.13,-0.56,-0.30,0.61,1.41,-0.02
0.18,-0.53,-0.20,0.40,1.33,0.11
0.24,-0.56,-0.24,-0.08,1.44,0.67
0.12,-0.60,-0.01,-0.07,1.67,1.14
0.14,-0.67,0.07,0.16,0.99,1.42
0.03,-0.84,0.29,-0.04,0.90,1.67
-0.14,-1.14,0.13,-0.41,0.11,1.58
-0.10,-1.14,0.10,-0.21,-0.49,1.39
