Ax,Ay,Az,Gx,Gy,Gz
0.03,-0.01,0.97,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.98,0.07,0.03,-0.03
0.03,0.01,0.97,0.07,0.02,-0.03
0.03,-0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.98,0.07,0.03,-0.03
0.03,-0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.98,0.07,0.03,-0.03
0.06,-0.02,0.94,0.07,0.02,-0.02
0.05,-0.01,0.94,0.07,0.02,-0.03
0.03,0.00,0.95,0.07,0.02,-0.03
0.03,0.01,0.95,0.07,0.02,-0.03
0.03,-0.00,0.96,0.07,0.03,-0.03
0.03,0.00,0.96,0.07,0.02,-0.03
0.03,-0.00,0.98,0.07,0.03,-0.03
0.03,-0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.98,0.07,0.03,-0.03
0.03,-0.00,0.98,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.98,0.07,0.03,-0.03
0.03,-0.00,0.98,0.07,0.02,-0.03
0.03,0.00,0.98,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.98,0.07,0.03,-0.03
0.03,0.00,0.98,0.07,0.03,-0.03
0.03,0.00,0.98,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.02,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.98,0.07,0.03,-0.03
0.03,0.00,0.97,0.07,0.03,-0.03
0.03,-0.00,0.97,0.07,0.02,-0.03
